Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
NESTLEIND,2020-01-13 to 2025-01-11,16970.27,-1217.27,2
ONGC,2020-01-13 to 2025-01-11,76618.15,9935.21,3
PIDILITIND,2020-01-13 to 2025-01-11,30509.64,,1
PFC,2020-01-13 to 2025-01-11,23666.52,,1
POWERGRID,2020-01-13 to 2025-01-11,3790.7,,1
PNB,2020-01-13 to 2025-01-11,81865.51,-4870.29,3
RECLTD,2020-01-13 to 2025-01-11,6560.43,,1
RELIANCE,2020-01-13 to 2025-01-11,16111.29,-1495.14,2
SBILIFE,2020-01-13 to 2025-01-11,45509.02,,2
MOTHERSON,2020-01-13 to 2025-01-11,6045.61,,1
SHREECEM,2020-01-13 to 2025-01-11,3041.64,2638.51,2
SHRIRAMFIN,2020-01-13 to 2025-01-11,13615.86,,1
SIEMENS,2020-01-13 to 2025-01-11,0,,0
SBIN,2020-01-13 to 2025-01-11,0,,0
SUNPHARMA,2020-01-13 to 2025-01-11,0,,0
TVSMOTOR,2020-01-13 to 2025-01-11,0,,0
TCS,2020-01-13 to 2025-01-11,3791.13,,1
TATACONSUM,2020-01-13 to 2025-01-11,39684.83,1789.26,3
TATAMOTORS,2020-01-13 to 2025-01-11,32327.27,-1186.3,2
TATAPOWER,2020-01-13 to 2025-01-11,888.3,-4731.98,2
TATASTEEL,2020-01-13 to 2025-01-11,9810.92,-8435.72,2
TECHM,2020-01-13 to 2025-01-11,2296.21,,1
TITAN,2020-01-13 to 2025-01-11,36534.23,3152.83,2
TORNTPHARM,2020-01-13 to 2025-01-11,40117.45,,2
TRENT,2020-01-13 to 2025-01-11,0,,0
ULTRACEMCO,2020-01-13 to 2025-01-11,13173.35,,1
UNIONBANK,2020-01-13 to 2025-01-11,105968.27,-15598.27,3
UNITDSPR,2020-01-13 to 2025-01-11,0,,0
VBL,2020-01-13 to 2025-01-11,0,,0
VEDL,2020-01-13 to 2025-01-11,4091.23,,1
WIPRO,2020-01-13 to 2025-01-11,2578.64,,1
ZOMATO,2020-01-13 to 2025-01-11,36170.21,,1
ZYDUSLIFE,2020-01-13 to 2025-01-11,7065.09,4958.46,2
Total,,2017293,-224938,146
Per trade,,13817,-1541,
